Name|Continent|Population|AreaSize|PopulationDensity
Brazil|193364000|8511965.0|22.72
Canada|34207000|9976140.0|3.43
Colombia|48654392|1090909.09|44.6
Egypt|93383574|1000000.0|93.38
France|64668129|541656.76|119.39
Indonesia|260581100|1809590.97|144.0
Italy|59801004|300000.0|199.34
Japan|127380000|377835.0|337.13
Mexico|128632004|1969230.76|65.32
Nigeria|186987563|912134.45|205.0
South Africa|54978907|1222222.22|44.98
South Korea|50503933|98076.92|514.94
United States Of America|309975000|9629091.0|32.19
